municipio,nombre_estacion,latitud,longitud,parametro
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,P
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,PLiquida
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,PM2.5
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,HAire10
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,DViento
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,HAire10
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,P
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,O3
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,TMPR_AIR_10CM
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,PM2.5
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,PLiquida
MEDELLÍN,MEDELLÍN - TANQUES LA YE EPM,6.182572,-75.55072,VViento
MEDELLÍN,MEDELLÍN - VILLAHERMOSA,6.258909,-75.548261,PM2.5
MEDELLÍN,MUSEO,6.252733,-73.569808,
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,PLiquida
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,PM2.5
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,DViento
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,HAire10
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,VViento
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,O3
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,TMPR_AIR_10CM
MEDELLÍN,PARQUE BIBLIOTECA TOMÁS CARRASQUILLA - LA QUINTANA,6.285101,-75.583145,P
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,NO2
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,TMPR_AIR_10CM
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,TAire2
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,RGlobal
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,HAire10
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,CO
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,PM10
MEDELLÍN,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,6.208978,-75.577962,TAire10
