Fecha,DViento,HAire10,O3,P,PLiquida,PM2.5,TMPR_AIR_10CM,VViento
2024-08-08,183.62822909,81.11477778,28.7669886,19.83000694,0.01625,17.19011542,19.83000694,0.96444958
2024-08-09,153.05198002,84.05539583,22.54599448,19.02451389,0.15375,10.64686087,19.02451389,0.85633113
2024-08-10,180.46346245,85.68099306,28.43999811,19.09095139,0.07375,10.62221542,19.09095139,0.8416989
2024-08-11,184.20837035,87.51753287,22.21900398,18.20847661,0.29608696,5.11662612,18.20847661,0.91690414
2024-08-12,185.21012274,78.27136805,39.58219915,20.51582639,0.13625,11.12190375,20.51582639,0.75852657
2024-08-13,186.47332157,82.25122917,27.21378376,19.19696528,0.09291667,8.86355458,19.19696528,0.92846884
2024-08-14,141.12310605,67.96922917,33.43477788,21.72388194,0.0,9.56401182,21.72388194,0.9814016
2024-08-15,142.74716568,66.05707639,36.05070183,21.75476389,0.0,14.04389542,21.75476389,1.27970696
2024-08-16,190.6578105,71.95430556,32.80709831,21.07389583,0.055,15.20390375,21.07389583,0.81828853
2024-08-17,161.64554204,64.220375,35.65831323,21.09225694,0.03291667,8.46802,21.09225694,0.9983433
2024-08-18,149.84049631,64.1323233,46.16288282,20.84039999,0.0,10.15595792,20.84039999,1.15047867
2024-08-19,144.62417585,65.94456944,40.19530632,21.07365278,0.0,7.82553225,21.07365278,1.07004236
2024-08-20,153.04245882,68.48840278,39.43505343,21.24419444,0.0,12.25237,21.24419444,1.05940968
2024-08-21,178.74235606,69.22783569,45.11651324,21.4198677,0.0,15.34414833,21.4198677,0.86135975
2024-08-22,224.70432659,77.40079167,29.11352744,21.01641667,0.03916667,11.8317075,21.01641667,0.70120835
2024-08-23,233.41806492,79.71270833,,20.6935625,0.07833333,11.44972625,20.6935625,0.43562103
2024-08-24,197.26516499,87.94325,,18.67580556,0.28166667,9.36633261,18.67580556,0.59712754
2024-08-25,214.79600928,84.74129861,,19.23311806,0.04958333,11.70554375,19.23311806,0.61377437
2024-08-26,188.65737357,76.53915278,,19.76013889,0.0,13.42918,19.76013889,0.94401591
2024-08-27,156.89260947,67.92029861,59.60382702,20.74190278,0.0,13.7811975,20.74190278,0.97579825
2024-08-28,214.03865361,68.18675694,41.94470546,22.014,0.02125,14.4214375,22.014,0.79947372
2024-08-29,195.11683974,80.39476389,33.14048644,19.65275695,0.00958333,11.25006565,19.65275695,0.57686897
2024-08-30,187.913257,65.48447222,48.0103791,21.1213125,0.0,16.09478864,21.1213125,1.06564909
