Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,O3,P,PLiquida,PM2.5,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2018-11-11,,,,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,,,,
2018-11-13,,,,,,,,,,,,,,,
2018-11-14,,,,,,,,,,,,,,,
2018-11-15,,,,,,,,,,,,,,,
2018-11-16,,,,,,,,,,,,,,,
2018-11-17,,,,,,,,,,,,,,,
2018-11-18,,,,,,,,,,,,,,,
2018-11-19,,,,,,,,,,,,,,,
2018-11-20,,,,,,,,,,,,,,,
2018-11-21,,,,,,,,,,,,,,,
2018-11-22,,,,,,,,,,,,,,,
2018-11-23,,,,,,,,,,,,,,,
2018-11-24,,,,,,,,,,,,,,,
2018-11-25,,,,,,,,,,,,,,,
2018-11-26,,,,,,,,,,,,,,,
2018-11-27,,,,,,,,,,,,,,,
2018-11-28,,,,,,,,,,,,,,,
2018-11-29,,,,,,,,,,,,,,,
2018-11-30,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,,,,,,,,
2018-12-02,,,,,,,,,,,,,,,
2018-12-03,,,,,,,,,,,,,,,
2018-12-04,,,,,,,,,,,,,,,
2018-12-05,,,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,,
2018-12-07,,,,,,,,,,,,,,,
2018-12-08,,,,,,,,,,,,,,,
2018-12-09,,,,,,,,,,,,,,,
2018-12-10,,,,,,,,,,,,,,,
2018-12-11,,,,,,,,,,,,,,,
2018-12-12,,,,,,,,,,,,,,,
2018-12-13,,,,,,,,,,,,,,,
2018-12-14,,,,,,,,,,,,,,,
2018-12-15,,,,,,,,,,,,,,,
2018-12-16,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,,
2018-12-22,,,,,,,,,,,,,,,
2018-12-23,,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,,
2018-12-25,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,,,,
2018-12-29,,,,,,,,,,,,,,,
2018-12-30,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,,
2019-01-01,109.86394208,52.7776625,,16.72503152,28.15085417,,30.64718394,23.49995,0.0,30.79166667,164.20782727,,,23.49995,1.02755313
2019-01-02,107.34334158,51.7346625,,18.86650639,30.0228689,,26.15923942,23.39936667,0.0,12.79166667,185.28611364,,,23.39936667,1.29874817
2019-01-03,103.7892025,48.0760625,,28.19351447,34.08552014,,21.01731392,23.38730833,0.0,12.75,219.32640417,,,23.38730833,1.59328486
2019-01-04,94.49239583,54.44195417,,26.16274853,34.04467581,,23.78038359,23.90826667,0.0,18.0,207.37501304,,,23.90826667,1.48300687
2019-01-05,182.34608708,65.89185417,,15.50136664,30.73289265,,28.35825048,23.49813333,0.0625,23.70833333,164.58420279,,,23.49813333,1.21880483
2019-01-06,123.92413192,70.589175,,15.32834304,22.49373846,,29.73161055,22.29065417,1.41666667,21.66666667,178.20048917,,,22.29065417,1.3246743
2019-01-07,123.07719958,73.2442,,15.7601917,23.9371032,,17.80463233,21.41860833,0.05833333,18.16666667,138.71474913,,,21.41860833,1.03497046
2019-01-08,110.343505,68.5621375,,31.94788832,31.90149216,,21.58137252,21.16210417,0.94583333,19.875,164.21226409,,,21.16210417,0.9037534
2019-01-09,257.32440833,74.99104167,,27.66706957,28.77003005,,17.91090424,19.74369583,0.23333333,16.70833333,128.88685333,,,19.74369583,0.66696388
2019-01-10,121.46813042,72.53775,,24.01997055,25.73263177,,20.73119724,20.26627083,0.05416667,15.83333333,138.00961643,,,20.26627083,1.26740765
2019-01-11,101.10362267,65.55637917,,13.19532056,25.55791708,,31.47283493,21.2640375,0.01666667,14.0,178.4446,,,21.2640375,1.63930667
2019-01-12,60.8352275,66.34645417,,10.91964483,22.60397035,,21.85113968,21.1094125,0.0,13.75,119.9456371,,,21.1094125,1.97708833
2019-01-13,66.62987042,65.88913333,,9.54118981,20.93335664,,24.8185784,21.40277917,0.0,13.70833333,158.71877083,,,21.40277917,1.76260446
2019-01-14,124.444355,66.06594583,,29.04825859,33.77024392,,17.62478756,20.73486667,0.0,18.29166667,102.83976054,,,20.73486667,1.27875429
2019-01-15,128.9539545,65.43551667,,34.86668669,35.98075807,,19.46410908,22.0423,0.0,21.0,150.50211783,,,22.0423,1.37257413
2019-01-16,29.97188529,65.866775,,20.06800291,35.54249443,,22.82393639,22.73790833,0.04166667,20.77272727,173.85820092,,,22.73790833,1.90886696
2019-01-17,53.2147,71.23765,,25.64355,37.42149022,,12.57278445,21.21243333,0.05,21.54166667,95.92869158,,,21.21243333,1.7137575
2019-01-18,61.22562292,64.816825,,27.22468353,33.4397598,,20.25706103,22.64348333,0.0,21.0,185.41113388,,,22.64348333,1.66837658
2019-01-19,49.63327083,64.20691667,,17.41560814,32.69582577,,20.9355663,23.11622083,0.02083333,21.29166667,172.92016433,,,23.11622083,1.47121571
2019-01-20,66.03316875,64.18795,,14.78203962,27.75674127,,23.387995,23.19392917,0.0,18.58333333,117.41723808,,,23.19392917,1.407287
2019-01-21,94.60797925,65.8234,,14.71268904,28.35153791,,20.15078912,22.38636667,0.0,15.08333333,135.82263383,,,22.38636667,2.15505083
2019-01-22,39.72092708,59.2660875,,20.69172185,31.67630025,,22.84846068,24.01762917,0.0,17.91666667,195.03083865,,,24.01762917,1.87246856
2019-01-23,60.66221125,56.43964167,,25.12987566,32.26549124,,28.47269716,24.64355,0.0,19.33333333,207.90184735,,,24.64355,1.88965479
2019-01-24,71.58684167,54.327875,,23.61961139,35.90060509,,24.90032602,24.5437125,0.0,17.33333333,131.40838023,,,24.5437125,1.44690979
2019-01-25,66.27475792,64.504925,,19.49964356,32.64716985,,18.05804996,23.2094875,0.0,20.16666667,139.00150542,,,23.2094875,1.78858121
2019-01-26,125.55747283,61.47294583,,23.14905242,30.22032885,,24.61420934,24.16421667,0.0,21.66666667,128.94492209,,,24.16421667,1.24962991
2019-01-27,77.46593292,69.13802917,,7.39814097,23.30734995,,25.5134332,23.27354167,0.0,20.66666667,103.39563029,,,23.27354167,1.37057763
