Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-05-05,139.66666667,67.89516883,19.26911918,38.02236333,24.44004569,0.0,40.50866818,27.60869565,1.41952381
2019-05-06,,,40.07371161,50.30182308,,0.0,,29.83333333,
2019-05-07,157.25,79.55444445,43.48689814,52.82243445,20.62616667,0.1875,49.62792917,33.41666667,1.58791667
2019-05-08,222.95833333,66.47211805,69.86455406,46.75874805,22.98919444,0.0,57.84454167,33.04347826,1.48541667
2019-05-09,195.45833333,66.14041667,68.8807909,56.70580315,23.25073611,0.04125,,38.41666667,1.54333333
2019-05-10,190.375,74.07973611,42.79417009,27.61321025,21.63815972,0.00166667,43.18732083,18.08333333,1.46458333
2019-05-11,189.70833333,87.44625141,46.49061901,48.91971308,20.53689277,0.10541667,72.07539583,22.95833333,1.35416667
2019-05-12,219.83333333,76.56936806,33.76841255,28.79509451,22.301625,0.00375,59.43584167,17.29166667,1.62625
2019-05-13,,,70.53426033,39.19665539,,,,33.54166667,
2019-05-14,,,40.71888302,42.0361093,,,,23.25,
2019-05-15,,,47.45157502,45.72129585,,,,34.41666667,
2019-05-16,,,64.75509446,50.65110359,,,,38.16666667,
2019-05-17,,,52.79254017,53.18485441,,,,34.90909091,
2019-05-18,,,48.96342859,33.96487541,,,,,
2019-05-19,,,27.40529077,30.1783406,,,,,
2019-05-20,,,42.93512162,41.10088017,,,,27.66666667,
2019-05-21,,,45.75545525,40.35701665,,,,35.04166667,
2019-05-22,,,54.96710406,44.2946982,,,,32.125,
2019-05-23,,,47.07524947,44.62804213,,,,27.40909091,
2019-05-24,,,57.83582687,41.88369192,,,,31.39130435,
2019-05-25,,,,,,,,,
2019-05-26,,,18.86321537,22.37763025,,,,15.91666667,
2019-05-27,,,42.82775991,37.47706452,,,,26.70833333,
2019-05-28,,,51.8438897,36.49691818,,,,30.70833333,
2019-05-29,,,54.51231539,39.00500123,,,,36.29166667,
2019-05-30,,,57.02191893,35.68030584,,,,31.75,
2019-05-31,,,49.90920199,39.94529047,,,,32.91666667,
2019-06-01,175.45833333,75.42952083,36.65888468,36.60354593,21.91176389,0.07791667,37.78842727,22.69565217,1.40541667
2019-06-02,76.5,70.46014583,17.89716926,19.81205454,22.70379861,0.0,61.7572,15.27777778,1.25166667
2019-06-03,149.23809524,75.40289887,,,22.52504246,0.0,62.87537895,,1.37333333
2019-06-04,,,30.2946744,51.72175307,,0.0,,36.22222222,
2019-06-05,195.20833333,69.72981944,113.84459858,47.39847537,24.101,0.0,56.26351667,26.08333333,1.59083333
