Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2020-11-11,204.82608696,90.083625,15.98166033,18.7523125,0.17333333,,,18.7523125,1.03478261
2020-11-12,206.58333333,86.29532639,11.3614333,19.75185417,0.055,,,19.75185417,0.78958333
2020-11-13,217.79166667,86.92816667,11.51006535,19.404875,0.23208333,,,19.404875,0.90958333
2020-11-14,237.33333333,80.28321528,10.93783198,19.54343056,0.30166667,,,19.54343056,1.16416667
2020-11-15,212.0,77.94954167,14.05241643,20.2255,0.08666667,,,20.2255,1.09041667
2020-11-16,241.625,82.48486806,28.31737667,20.13372222,0.21875,,,20.13372222,0.90791667
2020-11-17,216.5,90.51663826,18.07439949,18.68769003,0.46583333,,,18.68769003,0.9075
2020-11-18,154.66666667,80.893375,17.51034089,20.27922917,0.01208333,,,20.27922917,1.11166667
2020-11-19,213.83333333,77.38044444,12.2130949,20.85539583,0.01083333,,,20.85539583,1.09458333
2020-11-20,204.70833333,83.35032639,16.36587416,19.94578472,0.11416667,,,19.94578472,1.03291667
2020-11-21,216.58333333,79.79202778,12.78532827,20.76259028,0.02291667,,,20.76259028,0.8725
2020-11-22,224.66666667,78.91263889,21.92471254,21.36036806,0.21708333,,,21.36036806,1.09625
2020-11-23,175.25,75.85800694,20.75572153,21.87786805,0.0,,,21.87786805,1.23333333
2020-11-24,175.125,75.43772222,22.01463492,22.079875,0.00041667,,,22.079875,1.1125
2020-11-25,186.16666667,74.35711111,27.35275472,22.27625,0.0,,,22.27625,1.38208333
2020-11-26,210.625,80.29354167,21.19715869,20.96150694,0.29708333,,,20.96150694,1.40458333
2020-11-27,214.79166667,83.02663889,16.06340796,20.16038194,0.19083333,,,20.16038194,1.01
2020-11-28,213.66666667,86.6274375,20.79659534,18.6751875,0.34125,,,18.6751875,0.94583333
2020-11-29,207.66666667,78.90002083,24.20547123,20.96917361,0.00083333,,,20.96917361,0.97333333
2020-11-30,193.125,82.1815,20.14261435,20.74729861,0.05166667,,,20.74729861,0.89125
2020-12-01,195.83333333,83.04254861,22.55416924,20.15788195,0.07583333,,,20.15788195,1.01291667
2020-12-02,227.625,87.78977778,3.35710239,19.35284028,0.15708333,,,19.35284028,0.9175
2020-12-03,174.875,79.57758592,,20.48280944,0.05208333,,,20.48280944,1.09166667
2020-12-04,195.45833333,77.42937185,,21.34946221,0.0,,,21.34946221,1.30541667
2020-12-05,186.25,74.68783334,,22.01753472,0.0,,,22.01753472,1.16208333
2020-12-06,180.875,75.77821528,,21.89030556,0.04208333,,,21.89030556,1.23166667
2020-12-07,205.33333333,77.84970139,,21.47190278,0.0,,,21.47190278,1.255
2020-12-08,232.58333333,76.55779167,,21.68635417,0.01708333,,,21.68635417,0.97625
2020-12-09,201.66666667,83.52757639,,20.44442361,0.04708333,,,20.44442361,1.12208333
2020-12-10,186.95833333,73.97664583,,21.50088889,0.0,,,21.50088889,1.13916667
2020-12-11,217.75,72.88432639,,21.81665278,0.0,,,21.81665278,1.255
2020-12-12,216.875,78.78863194,,21.117375,0.00375,,,21.117375,1.09916667
2020-12-13,231.91666667,74.3055,,20.85250694,0.0,,,20.85250694,1.27208333
2020-12-14,212.125,74.75302083,,21.45460417,0.0,,,21.45460417,1.11416667
