Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM10,PM2.5,RGlobal,TAire10,TAire2,VViento
2012-08-02,,,,71.53333333,45.46828223,,,37.70833333,26.56521739,,,20.125,
2012-08-03,,,,73.69583333,35.56184797,,,36.625,25.33333333,,,19.26666667,
2012-08-04,,,,75.175,49.11190305,,,37.20833333,27.91304348,,,19.225,
2012-08-05,,,,73.27916667,36.00855309,,,25.5,19.57142857,,,19.1375,
2012-08-06,,,,73.40416667,41.362794,,,37.375,28.34782609,,,19.42916667,
2012-08-07,,,,68.54583333,41.20883819,,,32.41666667,20.73913043,254.4375,,20.2625,
2012-08-08,,,,76.99583333,28.54169635,,,41.41666667,26.41666667,195.8125,,18.72083333,
2012-08-09,,,,69.775,48.82109763,,,41.16666667,38.16666667,199.79583333,,19.80833333,
2012-08-10,,,,55.68333333,31.93727725,,,72.76190476,49.13043478,128.075,,21.25833333,
2012-08-11,,,,63.21666667,54.70563077,,15.5,49.58333333,33.39130435,203.25416667,,20.64583333,
2012-08-12,,,,73.34166667,45.75053455,,0.4375,25.16666667,21.08333333,205.41666667,,19.42916667,
2012-08-13,,,,77.12083333,26.89094796,,0.75,27.5,22.375,,,18.35416667,
2012-08-14,,,,80.07083333,24.2223806,,1.125,22.58333333,19.04166667,,,17.85,
2012-08-15,,,,65.35,33.44262294,,0.0,39.70833333,25.91666667,,,20.07916667,
2012-08-16,,,,64.18333333,39.11332857,,0.29166667,38.83333333,26.45833333,,,20.65,
2012-08-17,,,,75.8375,42.08980754,,0.75,39.875,25.95652174,,,18.55416667,
2012-08-18,,,,74.48333333,38.16393441,,0.0625,42.41666667,28.60869565,,,19.175,
2012-08-19,,,,67.16666667,44.51033498,,0.02083333,33.91666667,22.45454545,,,20.52083333,
2012-08-20,,,,72.14583333,50.54027083,,0.54166667,28.91666667,19.68181818,,,19.8,
2012-08-21,,,,73.775,46.10121167,,0.0,42.625,31.40909091,,,19.71666667,
2012-08-22,,,,76.60416667,33.64789735,,0.20833333,44.79166667,31.82608696,,,18.60416667,
2012-08-23,,,,75.97916667,29.2516037,,0.5625,45.625,29.70833333,,,18.25833333,
2012-08-24,,,,78.08333333,27.19885958,,0.04166667,58.79166667,44.13043478,,,18.32083333,
2012-08-25,,,,73.78333333,54.67141837,,0.04166667,56.5,38.43478261,,,19.12083333,
2012-08-26,,,,63.6,44.26229507,,0.125,27.29166667,16.0,,,20.7,
2012-08-27,,,,58.20416667,39.85744831,,0.02083333,30.54166667,18.625,,,20.27916667,
2012-08-28,,,,51.09583333,61.17177474,,0.0,42.16666667,24.33333333,,,21.44166667,
2012-08-29,,,,52.75217391,50.10134126,,0.0,57.25,31.65217391,,,20.46956522,
2012-08-30,,,,49.31666667,49.41981466,,0.0,48.91666667,25.83333333,,,21.125,
2012-08-31,,,,54.81666667,49.08624374,,0.0,47.58333333,23.41666667,,,20.7,
2012-09-01,,,,56.2,43.77049179,,0.0,45.29166667,28.75,,,20.3125,
2012-09-02,,,,58.00416667,54.99643619,,0.0,38.86956522,23.86956522,,,20.4625,
2012-09-03,,,,61.7625,48.58161082,,0.0,49.79166667,26.0,,,20.32916667,
2012-09-04,,,,59.29583333,43.87740554,,0.0,50.70833333,26.625,,,20.77916667,
2012-09-05,,,,76.3125,42.67997147,,0.22916667,52.2173913,34.0,,,18.27083333,
2012-09-06,,,,61.7125,46.69992871,,0.0,43.75,25.08333333,,,20.675,
2012-09-07,,,,63.3875,56.36493227,,0.375,43.95833333,23.79166667,219.9375,,19.925,
2012-09-08,,,,63.00833333,50.29223091,,0.08333333,39.375,23.66666667,179.87083333,,20.28333333,
2012-09-09,,,,54.38333333,43.27868851,,0.4375,33.69565217,18.95652174,281.25833333,,21.12083333,
