Fecha,DViento,HAire10,P,PLiquida,PM2.5,VViento
2019-06-28,80.0,87.52676569,14.49530704,0.0,14.29583333,3.255
2019-06-29,81.875,79.88780992,14.43555556,0.01375,5.57083333,3.2575
2019-06-30,75.79166667,78.74073611,14.97901389,0.0175,5.0047619,3.30916667
2019-07-01,93.95833333,86.56336111,14.20166667,0.19208333,4.37894737,2.96416667
2019-07-02,84.33333333,86.53855342,14.53216667,0.17041667,5.95294118,2.60208333
2019-07-03,104.375,87.67078185,14.33655556,0.7475,5.86470588,2.63458333
2019-07-04,83.33333333,88.2072193,14.33418056,0.28916667,8.225,3.25875
2019-07-05,103.95238095,83.42752899,14.9863425,1.36541667,7.09047619,2.99809524
2019-07-06,84.29166667,76.90335705,14.61267361,0.0,4.41904762,3.71958333
2019-07-07,79.45833333,72.05933792,14.771,0.0,4.90952381,3.71333333
2019-07-08,83.33333333,78.6515401,14.27942361,0.09666667,5.06956522,2.83291667
2019-07-09,74.20833333,92.48236806,13.19777083,0.15041667,5.67,3.30666667
2019-07-10,87.04166667,84.1755,14.39810417,0.0,5.94,3.22375
2019-07-11,86.20833333,86.84285417,14.12422222,0.17791667,5.68333333,2.98833333
2019-07-12,82.66666667,87.34583985,14.09201389,0.05583333,5.52608696,3.35375
2019-07-13,83.0,93.32781019,13.27559028,0.565,4.32727273,2.84625
2019-07-14,72.91666667,85.39425455,14.18945833,0.93833333,4.97619048,3.17666667
2019-07-15,93.95833333,85.03710417,13.86211111,0.46833333,5.02631579,2.83333333
2019-07-16,79.04166667,90.20083564,13.18516667,0.1,6.59545455,3.49208333
2019-07-17,78.58333333,83.12461594,14.35094539,0.00041667,4.95652174,4.60916667
2019-07-18,75.5,74.98863072,14.96387476,0.0,4.25833333,3.76541667
2019-07-19,74.70833333,82.36049242,14.68661806,0.02875,5.5,4.17708333
2019-07-20,80.41666667,77.45645543,14.79013194,0.0,5.76666667,3.75875
2019-07-21,81.0,80.36951059,15.05438195,0.02291667,5.62857143,3.31541667
2019-07-22,76.91666667,89.95228146,14.29415278,0.08916667,6.465,2.90333333
