Fecha,CO,NO,NO2,NOx,PM10
2009-05-25,0.84579772,,,,33.89906563
2009-05-26,0.74659141,,,,67.82476196
2009-05-27,0.69317262,,,,60.31339204
2009-05-28,0.71733826,,,,67.8429
2009-05-29,0.85851647,,,,66.83557442
2009-05-30,0.97171338,,,,57.43386475
2009-05-31,0.70589136,,,,37.64347025
2009-06-01,0.7135226,,,,97.34025483
2009-06-02,0.55708185,,,,69.33862621
2009-06-03,0.5387668,,,,83.88889325
2009-06-04,0.56980059,,,,117.23240088
2009-06-05,1.38507325,,,,78.33333608
2009-06-06,1.46138585,,,,79.22873838
2009-06-07,1.43594832,,,,35.11254613
2009-06-08,0.98061651,,,,80.89743963
2009-06-09,1.06837595,,,,81.76231492
2009-06-10,1.7017705,,,,75.06438277
2009-06-11,1.11797906,,,,111.39194925
2009-06-12,1.34818893,,,,99.52788571
2009-06-13,1.72593621,,,,80.541314
2009-06-14,2.13166454,,,,70.81400188
2009-06-15,1.63690463,,,,45.01017642
2009-06-16,1.0365791,,,,83.00366608
2009-06-17,0.97425714,,,,73.66300921
2009-06-18,0.92592587,,,,94.30810442
2009-06-19,0.97171343,,,,71.0582025
2009-06-20,0.95136336,,,,57.85104096
2009-06-21,1.06964789,,,,32.98331471
2009-06-22,1.44739524,,,,40.39072233
2009-06-23,1.66361421,,,,126.17800417
2009-06-24,1.33546996,,,,98.21530858
2009-06-25,1.14214492,,,,63.72202229
2009-06-26,0.78093202,,,,98.94790804
2009-06-27,0.72624132,,,,69.45055325
2009-06-28,0.55580995,,,,46.90272933
2009-06-29,0.89667273,,,,34.438341
2009-06-30,0.91702276,,,,116.93362405
2009-07-01,0.83689458,,,,59.62149346
2009-07-02,0.8457977,,,,54.81888829
2009-07-03,0.74277576,,,,54.19821267
2009-07-04,1.12433859,,,,67.48677463
2009-07-05,1.09762928,,,,52.48880946
2009-07-06,1.118326,,,,65.56224405
2009-07-07,0.63466627,,,,60.29304325
2009-07-08,0.71861012,,,,71.95360467
2009-07-09,0.6435694,,,,59.98779267
2009-07-10,0.94500401,,,,54.99186417
2009-07-11,1.05565726,,,,53.54701079
2009-07-12,0.74277574,,,,32.24053896
2009-07-13,0.56139515,,,,59.49939263
2009-07-14,0.62449128,,,,67.55800117
2009-07-15,0.36439257,,,,60.89336892
2009-07-16,0.46194548,,,,56.58933933
2009-07-17,0.42735045,,,,65.40090075
2009-07-18,0.69190069,,,,
2009-07-19,0.44770047,,,,
2009-07-20,0.5830281,,,,42.965
2009-07-21,0.99936299,,,,54.22873617
2009-07-22,0.96535401,,,,53.89296188
2009-07-23,0.96281028,,,,89.65812188
2009-07-24,0.74023196,,,,67.56817617
2009-07-25,0.5367318,,,,93.19902608
2009-07-26,0.54436307,,,,40.74684758
2009-07-27,0.4300048,,,,70.23402842
2009-07-28,0.34965036,,,,
2009-07-29,0.4782255,,,,67.1713505
2009-07-30,0.39960042,,,,80.89743942
2009-07-31,0.50928605,,,,66.76435021
2009-08-01,0.3968254,,,,50.99955918
2009-08-02,,,,,39.55637242
2009-08-03,0.34410035,,,,70.29507879
2009-08-04,0.32814405,,,,64.53602263
2009-08-05,0.50607289,,,,58.57346692
2009-08-06,0.68922308,,,,59.29589208
2009-08-07,0.74985403,,,,39.27147011
2009-08-08,0.7084351,,,,45.3052515
2009-08-09,0.4884005,,,,36.03581838
2009-08-10,0.39987792,,,,55.98901354
2009-08-11,0.49603178,,,,50.43345829
2009-08-12,0.39405041,,,,54.45258667
2009-08-13,0.58661147,,,,63.1929205
2009-08-14,0.80294107,,,,80.14448883
2009-08-15,0.86869149,,,,54.72731258
2009-08-16,0.76851258,,,,37.20594423
2009-08-17,0.91702272,,,,33.99064083
2009-08-18,0.92719775,,,,51.66463454
2009-08-19,0.6944445,,,,54.41188733
2009-08-20,0.93729799,,,,94.27757871
2009-08-21,1.11416347,,,,66.80505083
2009-08-22,1.03149155,,,,55.57183938
2009-08-23,0.75931013,,,,38.44729604
2009-08-24,1.00351032,,,,86.65649579
2009-08-25,0.97298526,,,,61.84981975
2009-08-26,0.73896015,,,,50.7794075
2009-08-27,0.5799756,,,,66.23215304
2009-08-28,0.5494506,,,,63.7667926
2009-08-29,0.60495063,,,,86.5852715
2009-08-30,0.74157874,,,,34.94709198
2009-08-31,0.72039075,,,,84.54009096
2009-09-01,0.57743185,,,,55.32763833
2009-09-02,0.5583537,,,,70.06105321
2009-09-03,0.56598498,,,,109.43834417
2009-09-04,0.5583537,,,,61.93121996
2009-09-05,0.39682543,,,,59.06186725
2009-09-06,0.4884005,,,,98.78511
2009-09-07,,,,,98.78511
2009-09-08,,,,,
2009-09-09,,,,,
2009-09-10,,,,,
2009-09-11,0.66215832,,,,204.260827
2009-09-12,0.50747865,,,,117.39519917
2009-09-13,0.95517901,,,,51.86813429
2009-09-14,0.64611318,,,,150.14855725
2009-09-15,0.9017602,,,,101.07448642
2009-09-16,0.66264757,,,,156.17216571
2009-09-17,1.08727241,,,,105.53114067
2009-09-18,0.88013835,,,,85.75092117
2009-09-19,0.72242575,,,,50.94220729
2009-09-20,0.50446632,,,,75.70818279
2009-09-21,0.5827506,,,,58.10541492
2009-09-22,0.62957879,,,,118.44322679
2009-09-23,0.48076926,,,,73.53073258
2009-09-24,0.4578755,,,,47.1367545
2009-09-25,0.24420029,,,,79.19821229
2009-09-26,0.40293042,,,,104.33048817
2009-09-27,0.3815629,,,,55.57183746
2009-09-28,0.38810397,,,,72.46235554
2009-09-29,0.28490032,,,,66.31664917
2009-09-30,,,,,100.13838446
2009-10-01,,,,,64.26129654
2009-10-02,0.57125416,,,,95.73260363
2009-10-03,0.69698824,,,,89.33252342
2009-10-04,0.65883193,,,,59.10256554
2009-10-05,1.60256424,,,,104.85958725
2009-10-06,0.63941909,,,,53.20106113
2009-10-07,0.48840051,,,,63.63044608
2009-10-08,0.55708183,,,,69.17582733
2009-10-09,0.29507531,,,,65.4314235
2009-10-10,0.5189255,,,,68.47375438
2009-10-11,0.72242575,,,,84.62149274
2009-10-12,0.62111803,,,,35.367364
2009-10-13,0.66264755,,,,76.90883617
2009-10-14,0.68554135,,,,80.816039
2009-10-15,0.66282926,,,,170.94628155
2009-10-16,0.97807276,,,,125.86081146
2009-10-17,0.64484129,,,,86.69719667
2009-10-18,0.9263683,,,,62.03296846
2009-10-19,1.11925094,,,,83.8787175
2009-10-20,1.06837593,,,,126.34920929
2009-10-21,1.06837598,,,,59.54009396
2009-10-22,0.66137568,,,,54.07611175
2009-10-23,0.54436307,,,,73.99878396
2009-10-24,0.67663822,,,,64.53602271
2009-10-25,0.86614769,,,,41.20472282
2009-10-26,0.61050063,,,,98.24583183
2009-10-27,0.56471309,,,,74.51770704
2009-10-28,0.62509957,,,,79.61538883
2009-10-29,1.34442845,,,,153.86818896
2009-10-30,0.97552901,,,,82.83069067
2009-10-31,0.76445294,,,,87.13472046
2009-11-01,0.92083835,,,,48.86650563
2009-11-02,1.00986973,,,,46.59747892
2009-11-03,0.94754777,,,,80.92796421
2009-11-04,0.94881962,,,,53.89296125
2009-11-05,0.91447904,,,,73.14408042
2009-11-06,0.90611146,,,,94.73545421
2009-11-07,0.69668894,,,,78.44526154
2009-11-08,0.95517905,,,,49.99593313
2009-11-09,1.05438533,,,,64.15954792
2009-11-10,0.9093915,,,,64.41392275
2009-11-11,0.7465914,,,,109.00081742
2009-11-12,0.70589138,,,,69.88807792
2009-11-13,0.5850631,,,,116.74399888
2009-11-14,0.73641636,,,,52.98738575
2009-11-15,0.3968254,,,,50.99368141
2009-11-16,0.92465403,,,,53.35368513
2009-11-17,0.9157509,,,,89.12902221
2009-11-18,0.90939149,,,,58.03419133
2009-11-19,0.86614773,,,,56.78266554
2009-11-20,0.68045385,,,,71.41433079
2009-11-21,0.69317259,,,,53.038261
2009-11-22,0.62703501,,,,43.41270075
2009-11-23,0.55072244,,,,49.8433075
2009-11-24,0.6232194,,,,58.96011679
2009-11-25,0.537822,,,,96.00732821
2009-11-26,0.6028694,,,,57.49491542
2009-11-27,0.59184646,,,,58.16646675
2009-11-28,0.64611318,,,,80.65323888
2009-11-29,1.24597631,,,,61.13756983
2009-11-30,1.97776764,,,,102.62108629
2009-12-01,0.78347581,,,,67.80220179
2009-12-02,0.60414125,,,,68.99267821
2009-12-03,0.52740472,,,,73.06268058
2009-12-04,0.78929009,,,,100.36223133
2009-12-05,0.48258623,,,,61.13757004
2009-12-06,0.38156291,,,,44.46072763
2009-12-07,0.33022532,,,,94.20900591
2009-12-08,0.43290044,,,,57.35246375
2009-12-09,0.53301401,,,,75.27066013
2009-12-10,0.50635641,,,,69.56247833
2009-12-11,0.802941,,,,48.88685979
2009-12-12,0.86233211,,,,
2009-12-13,1.129426,,,,
2009-12-14,0.48585675,,,,96.52625421
2009-12-15,0.41070043,,,,70.09157842
2009-12-16,0.52083336,,,,114.403748
2009-12-17,0.56662091,,,,136.19861825
