Fecha,PM10
2010-06-08,256.244645
2010-06-09,
2010-06-10,
2010-06-11,214.30108083
2010-06-12,52.44810775
2010-06-13,54.74766167
2010-06-14,59.92480917
2010-06-15,64.98371958
2010-06-16,65.99104667
2010-06-17,63.97039334
2010-06-18,
2010-06-19,
2010-06-20,
2010-06-21,214.19932833
2010-06-22,62.8673175
2010-06-23,94.32458375
2010-06-24,38.10134583
2010-06-25,61.82946792
2010-06-26,55.48026292
2010-06-27,34.51974042
2010-06-28,47.61497958
2010-06-29,44.91880413
2010-06-30,52.66096902
2010-07-01,56.79914363
2010-07-02,60.82443116
2010-07-03,44.17806414
2010-07-04,25.65242325
2010-07-05,23.48718094
2010-07-06,35.47436033
2010-07-07,
2010-07-08,
2010-07-09,50.37240792
2010-07-10,41.10297375
2010-07-11,39.32234667
2010-07-12,79.63380625
2010-07-13,68.28042583
2010-07-14,49.01913167
2010-07-15,12.31613847
2010-07-16,51.0846575
2010-07-17,51.13553125
2010-07-18,48.20513042
2010-07-19,87.90608417
2010-07-20,43.45340167
2010-07-21,50.36223208
2010-07-22,78.39438208
2010-07-23,79.61955943
2010-07-24,68.92144792
2010-07-25,64.12902125
2010-07-26,62.78591875
2010-07-27,57.87139
2010-07-28,54.48311208
2010-07-29,73.34757792
2010-07-30,74.497355
2010-07-31,46.19047875
2010-08-01,44.8677275
2010-08-02,77.29547957
2010-08-03,62.00244375
2010-08-04,61.49369083
2010-08-05,69.71510042
2010-08-06,84.10256375
2010-08-07,65.5840475
2010-08-08,44.00285125
2010-08-09,56.26373958
2010-08-10,78.658935
2010-08-11,72.64550292
2010-08-12,56.51811208
2010-08-13,51.87830958
2010-08-14,64.62759708
2010-08-15,14.37759596
2010-08-16,43.15832458
2010-08-17,78.53683708
2010-08-18,68.63654917
2010-08-19,75.12820792
2010-08-20,69.77836522
2010-08-21,74.81278417
2010-08-22,67.2222225
2010-08-23,77.59055917
2010-08-24,54.25926208
2010-08-25,180.10866833
2010-08-26,
2010-08-27,
2010-08-28,
2010-08-29,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-04,
2010-09-05,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-11,
2010-09-12,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,204.03449458
2010-09-17,52.0269646
2010-09-18,63.06064542
2010-09-19,49.42613167
2010-09-20,45.50875333
2010-09-21,63.5696011
2010-09-22,61.94139083
2010-09-23,23.12403477
2010-09-24,47.971105
2010-09-25,55.05291292
2010-09-26,47.99145542
2010-09-27,55.6430625
2010-09-28,55.99918667
2010-09-29,63.47782083
2010-09-30,68.46357717
2010-10-01,63.41676833
2010-10-02,79.58486167
2010-10-03,
2010-10-04,
2010-10-05,
2010-10-06,217.41269958
2010-10-07,
2010-10-08,
2010-10-09,
2010-10-10,59.14326583
2010-10-11,80.44973542
2010-10-12,221.99889266
2010-10-13,90.4008925
2010-10-14,80.57183208
2010-10-15,79.96133042
2010-10-16,86.74806542
2010-10-17,57.90191458
2010-10-18,42.568175
2010-10-19,110.09829414
2010-10-20,
2010-10-21,
2010-10-22,79.99186042
2010-10-23,58.44119208
2010-10-24,49.34473083
2010-10-25,85.58414822
2010-10-26,78.44525875
2010-10-27,23.54731491
2010-10-28,52.11233542
2010-10-29,43.0631901
2010-10-30,59.41799083
2010-10-31,44.73158655
2010-11-01,43.26007667
2010-11-02,53.5391766
2010-11-03,40.8994725
2010-11-04,42.24694961
2010-11-05,56.93182744
2010-11-06,69.4505525
2010-11-07,43.11986432
2010-11-08,40.41544811
2010-11-09,77.90404958
2010-11-10,87.93854333
2010-11-11,74.822955
2010-11-12,54.93091438
2010-11-13,41.03756381
2010-11-14,33.55738965
2010-11-15,36.21927389
2010-11-16,49.38543083
2010-11-17,53.57753542
2010-11-18,69.67440083
2010-11-19,72.53358042
2010-11-20,53.17277539
2010-11-21,49.4261325
2010-11-22,50.62678208
2010-11-23,62.3039311
2010-11-24,63.78306833
2010-11-25,69.34153429
2010-11-26,
2010-11-27,70.5923906
2010-11-28,58.02532342
2010-11-29,54.19434347
2010-11-30,83.44118625
2010-12-01,83.17664125
2010-12-02,49.75183281
2010-12-03,42.36374955
2010-12-04,44.56203565
2010-12-05,54.65079511
2010-12-06,26.79721363
2010-12-07,87.57224292
2010-12-08,63.89499542
2010-12-09,76.15201418
2010-12-10,68.13586591
2010-12-11,76.32885792
2010-12-12,56.60968708
2010-12-13,40.3194975
2010-12-14,56.02866892
2010-12-15,69.96762021
2010-12-16,95.16909138
2010-12-17,87.54027193
2010-12-18,84.58252586
2010-12-19,49.69184445
2010-12-20,79.7883575
2010-12-21,92.14081583
2010-12-22,77.26515652
2010-12-23,92.47660458
2010-12-24,75.85062958
2010-12-25,67.14082708
2010-12-26,44.17582792
2010-12-27,69.18620638
2010-12-28,52.88644683
2010-12-29,70.79202868
2010-12-30,74.84757493
