Fecha,CO,DViento,HAire2,O3,PLiquida,PM10,PM2.5,RGlobal,TAire2,VViento
2008-06-29,,,,,,33.5,,,,
2008-06-30,,,,,,31.66666667,,,,
2008-07-01,,,,,,44.73913043,,,,
2008-07-02,,,,,,51.16666667,,,,
2008-07-03,,,,10.96681585,,45.125,31.20833333,,,
2008-07-04,,,,12.81920321,,46.5,29.83333333,,,
2008-07-05,1.03369533,,,22.45080895,,42.45833333,29.83333333,,,
2008-07-06,1.1292942,,,9.20437024,,37.41666667,32.66666667,,,
2008-07-07,,,,,,39.0,20.0,,,
2008-07-08,,,,,,47.95833333,12.0,,,
2008-07-09,,,,,,44.30434783,33.0,,,
2008-07-10,,,,,,42.08333333,,,,
2008-07-11,1.26031657,,,20.09946035,,49.91304348,28.66666667,,,
2008-07-12,1.299386,,,14.5323238,,35.7,35.25,,,
2008-07-13,,,,,,29.75,,,,
2008-07-14,,,,,,50.16666667,,,,
2008-07-15,,,,,,46.08695652,,,,
2008-07-16,,,,,,49.0,,,,
2008-07-17,,,,,,45.33333333,,,,
2008-07-18,,,,,,50.83333333,,,,
2008-07-19,,,,,,42.0,,,,
2008-07-20,,,,,,38.70833333,,,,
2008-07-21,,,,,,46.66666667,,,,
2008-07-22,,,,,,48.34782609,,,,
2008-07-23,,,,,,50.54166667,,,,
2008-07-24,,,,,,62.69565261,,,,
2008-07-25,,,,,,45.66666667,,,,
2008-07-26,,,,,,46.08333333,,,,
2008-07-27,,,,,,27.61538462,,,,
2008-07-28,,,,,,55.28571429,,,,
2008-07-29,,,,,,50.0,,,,
2008-07-30,,,,,,47.56521739,,,,
2008-07-31,,,,,,42.83333333,,,,
2008-08-01,,,,,,42.73913043,,,,
2008-08-02,,,,13.62714686,,42.875,27.69230769,,,
2008-08-03,,,,9.33019223,,32.5,33.82608696,,,
2008-08-04,,,,16.0973731,,42.875,40.16666667,,,
2008-08-05,1.12280488,,,20.27099295,,37.34782609,37.45833333,,,
2008-08-06,1.235734,,,17.723807,,38.625,21.08333333,,,
2008-08-07,1.3596545,,,13.72091453,,26.0,29.70833333,,,
2008-08-08,1.1784472,,,9.20042758,,40.61904762,22.3,,,
2008-08-09,1.1107815,,,24.83055069,,54.29166667,31.08333333,,,
2008-08-10,,,,,,41.5,,,,
2008-08-11,1.25659575,,,6.4485963,,25.25,20.2173913,,,
2008-08-12,1.400879,,,13.84532389,,65.375,22.5,,,
2008-08-13,,,,,,48.00000042,,,,
2008-08-14,,,,,,45.16666667,,,,
2008-08-15,,,,,,44.5,,,,
2008-08-16,,,,,,37.5,,,,
2008-08-17,,,,,,42.83333333,,,,
2008-08-18,,,,,,32.75,,,,
2008-08-19,,,,,,48.66666667,,,,
2008-08-20,,,,,,44.41666667,,,,
2008-08-21,,,,,,50.875,,,,
2008-08-22,,,,,,58.5,,,,
2008-08-23,,,,,,40.45833333,,,,
2008-08-24,,,,,,33.875,,,,
2008-08-25,,,,,,38.25,,,,
2008-08-26,,,,,,58.70833333,,,,
2008-08-27,,,,,,82.75,,,,
2008-08-28,,,,,,48.625,,,,
2008-08-29,,,,,,47.29166667,,,,
2008-08-30,,,,,,43.66666667,,,,
2008-08-31,,,,,,27.08333333,,,,
2008-09-01,,,,,,37.20833333,,,,
2008-09-02,,,,12.9240879,,37.91666667,36.54166667,,,
2008-09-03,,,,18.342434,,23.95833333,31.25,,,
2008-09-04,1.483821,,,10.4694925,,40.25,46.52173913,,,
2008-09-05,1.16997757,,,10.03365126,,62.95833333,29.04166667,,,
2008-09-06,1.3410905,,,4.877951,,46.125,30.4,,,
2008-09-07,1.50968109,,,11.19738679,,43.0,30.5,,,
2008-09-08,1.07345933,,,20.31539287,,53.5,36.66666667,,,
2008-09-09,1.128127,,,15.89012595,,50.08333333,28.375,,,
2008-09-10,,,,,,53.65217391,24.625,,,
2008-09-11,1.30666675,,,15.8915898,,62.04166708,24.54166667,,,
2008-09-12,1.17201643,,,11.61282457,,51.95652174,24.375,,,
2008-09-13,,,,,,61.95833333,,,,
2008-09-14,,,,,,48.16666667,,,,
2008-09-15,,,,,,51.16666667,,,,
2008-09-16,,,,,,47.0,,,,
2008-09-17,,,,,,51.54166667,,,,
2008-09-18,,,,,,49.625,,,,
2008-09-19,,,,,,46.375,,,,
2008-09-20,,,,,,54.95833333,,,,
2008-09-21,,,,,,31.125,,,,
2008-09-22,,,,,,39.375,,,,
2008-09-23,,,,,,38.5,,,,
2008-09-24,,,,,,73.20833375,,,,
2008-09-25,,,,,,66.45833333,,,,
2008-09-26,,,,,,42.625,,,,
2008-09-27,,,,,,46.75,,,,
2008-09-28,,,,,,37.16666667,,,,
2008-09-29,,,,,,48.2173913,,,,
2008-09-30,,,,,,46.91666667,,,,
2008-10-01,,,,,,35.04166667,,,,
2008-10-02,,,,12.00060867,,53.29166667,23.625,,,
2008-10-03,,,,11.65904765,,34.08333333,36.75,,,
2008-10-04,1.36092874,,,20.83950947,,35.0,42.25,,,
2008-10-05,1.17632275,,,24.37495057,,,35.41666667,,,
2008-10-06,,,,,,,,,,
2008-10-07,1.25663717,,,9.35275061,,,26.70833333,,,
2008-10-08,,,,15.26590213,,,33.875,,,
2008-10-09,1.10401,,,12.57461509,,33.375,28.56521739,,,
2008-10-10,1.00895,,,19.574822,,35.75,26.66666667,,,
2008-10-11,1.3415765,,,18.94608694,,49.79166667,26.54166667,,,
2008-10-12,1.24853557,,,20.35037744,,22.20833333,31.33333333,,,
2008-10-13,,,,,,27.45454545,,,,
2008-10-14,,,,,,24.625,,,,
2008-10-15,,,,,,38.17391304,,,,
2008-10-16,,,,,,43.69565217,,,,
2008-10-17,,,,,,61.0,,,,
2008-10-18,,,,,,56.04166667,,,,
2008-10-19,,,,,,21.91666667,,,,
2008-10-20,,,,,,41.91666667,,,,
2008-10-21,,,,,,55.75,,,,
2008-10-22,,,,,,44.95833333,,,,
2008-10-23,,,,,,55.95833333,,,,
2008-10-24,,,,,,42.33333333,,,,
2008-10-25,,,,,,34.83333333,,,,
2008-10-26,,,,,,32.16666667,,,,
2008-10-27,,,,,,52.54166667,,,,
2008-10-28,,,,,,43.18181818,,,,
2008-10-29,,,,,,42.75,,,,
2008-10-30,,,,,,41.66666667,,,,
2008-10-31,,,,,,44.625,,,,
2008-11-01,,,,,,26.75,,,,
2008-11-02,,,,15.55448883,,17.29166667,36.29166667,,,
2008-11-03,,,,10.17890707,,25.04166667,29.54166667,,,
2008-11-04,1.35719739,,,13.44564667,,54.7826087,35.25,,,
2008-11-05,1.1657505,,,19.8310628,,55.45833333,24.33333333,,,
2008-11-06,1.09853863,,,13.12444138,,52.43478261,30.21428571,,,
2008-11-07,1.34329967,,,22.27920469,,51.0,31.45833333,,,
2008-11-08,1.093545,,,10.87737438,,33.91666667,18.43478261,,,
2008-11-09,1.0715745,,,15.51555961,,41.29166667,37.33333333,,,
2008-11-10,1.1004808,,,23.96251843,,51.16666667,34.66666667,,,
2008-11-11,1.46713925,,,19.51877979,,56.08333333,33.125,,,
2008-11-12,1.16130457,,,12.83366408,,76.79166667,37.79166667,,,
2008-11-13,,,,,,56.91666667,,,,
2008-11-14,,,,,,32.08333333,,,,
2008-11-15,,,,,,26.2173913,,,,
2008-11-16,,,,,,26.25,,,,
2008-11-17,,,,,,26.08333333,,,,
2008-11-18,,,,,,48.29166667,,,,
2008-11-19,,,,,,50.66666667,,,,
2008-11-20,,,,,,29.0,,,,
2008-11-21,,,,,,49.30434783,,,,
2008-11-22,,,,,,56.625,,,,
2008-11-23,,,,,,40.70833333,,,,
2008-11-24,,,,,,59.08333333,,,,
2008-11-25,,,,,,74.58333333,,,,
2008-11-26,,,,,,39.13333333,,,,
2008-11-27,,,,,,58.41666667,,,,
2008-11-28,,,,,,58.0,,,,
2008-11-29,,,,,,60.58333333,,,,
2008-11-30,,,,,,34.16666667,,,,
2008-12-01,,,,,,49.25,,,,
2008-12-02,,,,11.069948,,50.875,34.54166667,,,
2008-12-03,,,,12.273843,,61.16666667,47.70833333,,,
2008-12-04,1.3970456,,,15.65779145,,45.54166667,40.41666667,,,
2008-12-05,1.2460356,,,19.37965709,,48.83333333,22.79166667,,,
2008-12-06,1.24882817,,,20.13054285,,47.58333333,34.08695652,,,
2008-12-07,1.17553469,,,17.34095821,,52.125,26.05,,,
2008-12-08,1.4339645,,,17.46510723,,36.20833333,46.29166667,,,
2008-12-09,1.069718,,,17.57949674,,45.34782609,33.20833333,,,
2008-12-10,1.09786967,,,11.22438895,,53.45833333,18.36363636,,,
2008-12-11,1.30691433,,,15.32648893,,60.16666667,50.0,,,
2008-12-12,1.21131767,,,16.41236175,,49.41666667,30.66666667,,,
2008-12-13,,,,,,53.0,,,,
2008-12-14,,,,,,38.42857143,,,,
2008-12-15,,,,,,49.79166667,,,,
2008-12-16,,,,,,43.41666667,,,,
2008-12-17,,,,,,37.08333333,,,,
2008-12-18,,,,,,39.60869565,,,,
2008-12-19,,,,,,51.29166667,,,,
2008-12-20,,,,,,50.75,,,,
2008-12-21,,,,,,25.26666667,,,,
2008-12-22,,,,,,44.64285714,,,,
2008-12-23,,,,,,36.0,,,,
2008-12-24,,,,,,49.95833333,,,,
2008-12-25,,,,,,45.04166667,,,,
2008-12-26,,,,,,37.95833333,,,,
2008-12-27,,,,,,41.91666667,,,,
2008-12-28,,,,,,26.75,,,,
2008-12-29,,,,,,32.29166667,,,,
2008-12-30,,,,,,38.08333333,,,,
2008-12-31,,,,,,38.66666667,,,,
2009-01-01,0.96104757,,,11.50726298,,42.41666667,35.16666667,,,
2009-01-02,0.70074309,,,12.90115925,,37.39130435,22.83333333,,,
2009-01-03,0.80921984,,,12.72713467,,36.68181818,33.375,,,
2009-01-04,0.84587814,,,12.82560765,,,28.0,,,
2009-01-05,1.13204664,,,16.35800414,,43.3,25.0,,,
2009-01-06,0.87200064,,,15.10915137,,47.0,25.25,,,
2009-01-07,0.78690766,,,13.10191454,,,22.45833333,,,
2009-01-08,1.2427864,,,25.16358826,,47.5,25.83333333,,,
2009-01-09,0.75990548,,,18.50020028,,35.0,23.625,,,
2009-01-10,0.67609791,,,25.63890478,,,29.08333333,,,
2009-01-11,0.44470953,,,13.06472252,,21.44444444,14.625,,,
2009-01-12,0.606264,,,18.96357473,,,36.20833333,,,
2009-01-13,,,,,,,,,,
2009-01-14,,,,,,49.75,,,,
2009-01-15,,,,,,68.26087,,,,
2009-01-16,,,,,,66.95833333,,,,
2009-01-17,,,,,,52.91666667,,,,
2009-01-18,,,,,,41.41666667,,,,
2009-01-19,,,,,,46.95833333,,,,
2009-01-20,,,,,,42.18181818,,,,
2009-01-21,,,,,,55.30434783,,,,
2009-01-22,,,,,,37.0,,,,
2009-01-23,,,,,,51.0,,,,
2009-01-24,,,,,,52.45833333,,,,
2009-01-25,,,,,,32.5,,,,
2009-01-26,,,,,,46.16666667,,,,
2009-01-27,,,,,,54.875,,,,
2009-01-28,,,,,,70.69230769,,,,
2009-01-29,,,,,,75.23529412,,,,
2009-01-30,,,,,,37.27272727,,,,
2009-01-31,,,,,,,,,,
2009-02-01,1.010487,,,11.47764197,,,28.0,,,
2009-02-02,0.64270278,,,16.18470139,,50.0,27.41666667,,,
2009-02-03,1.06684869,,,13.25997974,,44.16666667,44.625,,,
2009-02-04,0.85740832,,,13.09831594,,38.45833333,21.29166667,,,
2009-02-05,1.18283443,,,9.33294509,,36.70833333,20.16666667,,,
2009-02-06,0.61058914,,,21.26592113,,46.54166667,28.75,,,
2009-02-07,0.93070884,,,11.89984057,,47.83333333,26.58333333,,,
2009-02-08,1.14887277,,,19.75353817,,34.5,21.41666667,,,
2009-02-09,0.80611114,,,17.32814327,,53.375,33.66666667,,,
2009-02-10,0.85660992,,,19.97904955,,59.125,38.58333333,,,
2009-02-11,0.42597975,,,12.64182809,,60.54545455,13.29166667,,,
2009-02-12,0.51675113,,,22.40037711,,62.20833333,33.625,,,
2009-02-13,,,,,,34.70833333,,,,
2009-02-14,,,,,,56.95833333,,,,
2009-02-15,,,,,,36.33333333,,,,
2009-02-16,,,,,,42.0,,,,
2009-02-17,,,,,,42.31578947,,,,
2009-02-18,,,,,,,,,,
2009-02-19,,,,,,62.53846154,,,,
2009-02-20,,,,,,52.75,,,,
2009-02-21,,,,,,44.54166667,,,,
2009-02-22,,,,,,42.08333333,,,,
2009-02-23,,,,,,57.70833333,,,,
2009-02-24,,,,,,54.79166667,,,,
2009-02-25,,,,,,64.75,,,,
2009-02-26,,,,,,58.45833333,,,,
2009-02-27,,,,,,75.25,,,,
2009-02-28,,,,,,52.0,,,,
2009-03-01,0.95520654,,,10.54614412,,52.91666667,25.70833333,,,
2009-03-02,0.62825091,,,13.48110117,,68.95,26.58333333,,,
2009-03-03,0.96385728,,,11.76550325,,,35.29166667,,,
2009-03-04,1.1205428,,,13.94740649,,,43.70833333,,,
2009-03-05,0.9189719,,,9.84634316,,,8.82608696,,,
2009-03-06,0.68461632,,,20.56565504,,34.73333333,34.79166667,,,
2009-03-07,0.93141686,,,13.6212422,,34.625,24.5,,,
2009-03-08,1.2578516,,,14.60657191,,41.66666667,26.79166667,,,
2009-03-09,0.81599458,,,20.71031496,,33.88888889,33.5,,,
2009-03-10,0.92855286,,,22.32645756,,,34.0,,,
2009-03-11,0.71491202,,,8.37233091,,,23.04166667,,,
2009-03-12,0.56168009,,,19.56406756,,,31.45833333,,,
2009-03-13,,,,,,,,,,
2009-03-14,,,,,,,,,,
2009-03-15,,,,,,,,,,
2009-03-16,,,,,,,,,,
2009-03-17,,,,,,,,,,
2009-03-18,,,,,,,,,,
2009-03-19,,,,,,,,,,
2009-03-20,,,,,,,,,,
2009-03-21,,,,,,646.46153846,,,,
2009-03-22,,,,,,615.45833333,,,,
2009-03-23,,,,,,616.56521739,,,,
2009-03-24,,,,,,289.95652174,,,,
2009-03-25,,,,,,57.33333333,,,,
2009-03-26,,,,,,54.79166667,,,,
2009-03-27,,,,,,54.95833333,,,,
2009-03-28,,,,,,48.18181818,,,,
2009-03-29,,,,,,49.875,,,,
2009-03-30,,,,,,69.875,,,,
