Fecha,NO,NO2,PM10
2019-07-27,7.40505749,28.12745147,43.5
2019-07-28,13.01004034,23.83097914,33.79166667
2019-07-29,18.26578295,25.91355521,34.54166667
2019-07-30,8.72958634,22.18056452,27.70833333
2019-07-31,12.77821934,25.90966853,30.625
2019-08-01,17.27889489,33.66296871,41.95833333
2019-08-02,13.96266769,30.11363024,30.77272727
2019-08-03,29.88962402,33.26374448,36.04347826
2019-08-04,28.3999146,22.63595319,30.375
2019-08-05,9.67394275,25.274958,34.83333333
2019-08-06,14.8294006,41.88757969,59.95833333
2019-08-07,4.84862139,28.31299077,44.375
2019-08-08,4.76605712,24.24058637,37.90909091
2019-08-09,13.09050718,27.38528223,38.76190476
2019-08-10,6.14170903,21.94935137,29.58333333
2019-08-11,6.08567489,22.67968867,25.625
2019-08-12,14.11546083,26.0121643,35.13043478
2019-08-13,9.36437289,29.31465827,38.95652174
2019-08-14,14.99348326,26.07012987,40.09090909
2019-08-15,14.23493461,42.59894056,59.16666667
2019-08-16,14.55311476,48.56177356,59.66666667
2019-08-17,9.84532181,41.18003697,48.58333333
2019-08-18,7.50063259,22.18444512,32.625
2019-08-19,5.82409247,24.71479528,29.95833333
2019-08-20,12.10167189,30.47576678,32.70833333
2019-08-21,4.26494727,28.93344811,32.5
2019-08-22,15.80903276,35.08307381,42.79166667
2019-08-23,9.29430015,36.61153436,43.33333333
2019-08-24,9.94861939,31.21109734,35.95833333
2019-08-25,2.42908201,17.66073326,27.66666667
2019-08-26,12.75222215,28.96132536,39.52173913
2019-08-27,15.51233941,32.42577683,42.0
2019-08-28,11.684646,37.43127289,41.29166667
2019-08-29,13.11085021,36.98124942,45.20833333
2019-08-30,16.76563882,35.0327525,46.83333333
2019-08-31,9.60826791,36.64287978,38.70833333
2019-09-01,5.35063481,28.40583937,22.83333333
2019-09-02,7.9494253,28.87911183,30.16666667
2019-09-03,13.2964784,31.93007213,38.45833333
2019-09-04,6.21106564,31.40591375,32.625
2019-09-05,8.62720876,28.87894359,28.41666667
2019-09-06,18.82151098,50.60093262,37.29166667
2019-09-07,14.28346836,29.05622003,35.45833333
2019-09-08,5.5459312,25.37779618,24.75
2019-09-09,14.4465672,34.24839889,36.41666667
2019-09-10,5.18800402,31.38276926,35.16666667
2019-09-11,12.76690359,31.8476941,31.8
2019-09-12,12.91979188,29.34526389,31.04166667
2019-09-13,8.82599297,27.88801079,25.20833333
2019-09-14,8.29638373,27.44335891,25.75
2019-09-15,6.83645097,23.37036418,28.5
2019-09-16,16.22190187,38.54014866,31.91666667
2019-09-17,12.62217334,31.25366976,28.33333333
2019-09-18,32.39178189,44.63661372,38.125
2019-09-19,10.53870182,35.25677184,28.0
2019-09-20,20.38312296,29.64614104,34.45833333
2019-09-21,13.35083417,35.92343431,36.79166667
2019-09-22,22.21706347,24.51818957,30.33333333
2019-09-23,35.89700265,42.18270044,36.70833333
2019-09-24,64.48271622,32.72472046,55.08333333
2019-09-25,44.46513199,47.79942088,41.91304348
2019-09-26,22.90500115,38.58479748,32.625
2019-09-27,16.95353734,30.14841839,44.375
2019-09-28,6.38296157,26.72323796,25.625
2019-09-29,11.00452934,21.37616871,23.58333333
2019-09-30,51.77258661,42.64738192,38.45833333
2019-10-01,20.19062123,30.4997953,31.45833333
2019-10-02,18.92554536,24.75492997,34.66666667
2019-10-03,28.54640385,31.7122448,38.13043478
2019-10-04,36.52070803,25.89816373,43.54166667
2019-10-05,9.03449471,28.48441535,29.75
2019-10-06,29.21074569,22.58620377,32.125
2019-10-07,13.6958824,23.1739846,27.0
2019-10-08,23.7983596,28.69530168,37.54166667
2019-10-09,27.91826937,33.30744526,41.08333333
2019-10-10,18.04113194,32.39635934,36.79166667
2019-10-11,20.55177704,41.21716075,46.375
2019-10-12,30.94225393,39.05295758,44.0
