Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM2.5,SO2,VViento
2020-03-24,687.33025135,123.125,73.0444375,6.97494912,26.32294318,49.40008869,20.76042361,0.0,51.70833333,24.75688517,1.515
2020-03-25,534.43010374,133.0,69.06015972,2.54815953,21.94322462,54.46026657,22.16609722,0.0,49.41666667,18.09229479,1.84541667
2020-03-26,499.38287967,144.45833333,71.43620833,4.93810911,20.24967289,59.0953568,22.73538195,0.00375,57.16666667,11.78379726,2.01125
2020-03-27,410.13102679,143.625,67.22692361,1.37309892,11.88893698,67.2537696,22.84652778,0.0,48.0,4.62623152,1.85541667
2020-03-28,423.57980729,128.79166667,68.49169444,2.30499061,11.6005389,71.8316365,22.82279167,0.0,47.125,9.93985121,2.35833333
2020-03-29,449.26993018,87.41666667,71.62724306,0.46020045,13.04547307,75.82092051,22.50480556,0.01,51.41666667,3.98248704,1.98458333
2020-03-30,467.48271951,109.45833333,79.33193056,1.70814284,12.52516464,74.16144376,21.9479375,0.07041667,50.08333333,4.35345843,1.89833333
2020-03-31,374.46569024,139.79166667,80.59563194,1.14369643,11.85800687,61.97287314,21.48640972,0.21,20.66666667,3.32783163,1.64458333
2020-04-01,373.45482684,131.625,84.92128472,1.64554205,14.8349047,54.35399466,20.5594375,0.1375,11.75,2.22582837,1.83
2020-04-02,311.13851123,107.91666667,73.84972917,2.72574557,11.2560167,50.30748731,22.77236806,0.0,9.20833333,0.97107218,2.045
2020-04-03,326.44104677,63.66666667,75.33413889,1.42619519,9.55966732,55.56385948,23.76923611,0.0,18.79166667,2.22582837,2.20041667
2020-04-04,308.40376464,73.5,77.34001389,1.03794226,5.41817678,54.1496256,23.46473611,0.11375,15.41666667,1.81121328,2.24125
2020-04-05,277.36482819,77.5,80.89234028,0.87046332,5.79759105,45.10016371,23.09910417,0.00208333,12.45833333,1.95305529,2.01041667
2020-04-06,341.3516378,103.58333333,78.35044444,1.75171952,8.69264141,51.12496354,22.44104167,0.06583333,5.91666667,2.67317623,2.18666667
2020-04-07,472.53355899,71.75,71.81784722,4.10399823,10.23586224,40.28849861,23.98159028,0.0,7.45833333,4.13523997,2.11791667
2020-04-08,469.2003785,90.20833333,74.51896528,1.3050102,8.36220429,47.5117186,23.99569445,0.09791667,8.58333333,2.67317623,1.95
2020-04-09,434.98484198,131.33333333,78.9561875,1.08846567,5.66074478,42.27987071,22.6943125,0.08541667,7.625,1.39659819,1.64083333
2020-04-10,420.61593938,85.95833333,81.479375,0.77564333,3.95796081,41.4378702,22.63629167,0.00208333,10.04166667,1.84394605,1.755
2020-04-11,428.60550049,95.66666667,81.58934028,2.40577304,6.69933164,41.76486069,22.04077778,0.44125,6.58333333,1.42933096,1.80416667
2020-04-12,408.32035854,116.83333333,75.76092361,1.20877355,4.84856569,39.77839344,23.01876389,0.0,8.0,1.71918202,2.03416667
2020-04-13,441.79513366,131.16666667,77.50621528,3.15156429,10.2537177,30.90060157,22.33664583,0.045,8.29166667,2.60771069,1.95291667
2020-04-14,459.93773662,120.70833333,74.23515972,4.09292272,10.25608198,40.44872395,21.63927083,0.0,17.26086957,13.30041561,1.8625
2020-04-15,480.80614492,157.33333333,71.98073611,2.92953505,8.96465695,45.64787279,21.70192361,0.0,25.125,4.74767484,1.97708333
2020-04-16,520.06301818,154.29166667,69.34777778,1.55507625,10.88671231,50.47915732,22.01181944,0.0,31.83333333,6.41562295,1.89083333
2020-04-17,512.02131753,151.25,70.65170833,1.63803203,10.26747002,52.35935265,21.50129861,0.0,40.08695652,9.16517565,1.94166667
