Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM10,PM2.5,SO2,TMPR_AIR_10CM,VViento
2021-04-01,243.84576546,148.04347826,87.09358696,8.85679661,15.72280192,20.41238151,21.06096377,0.00434783,30.2173913,14.66666667,,21.06096377,1.41478261
2021-04-02,223.77129012,142.83333333,88.33695139,7.11190441,13.62618985,24.70179608,20.59718056,0.36208333,30.06666667,14.16666667,,20.59718056,1.41875
2021-04-03,174.3340793,116.45833333,87.53585417,4.47437031,12.39700962,24.50793743,20.05184028,0.07875,26.5,10.08333333,,20.05184028,1.55333333
2021-04-04,179.60412319,125.54166667,84.57441667,2.65592663,9.73392973,29.43731911,21.27852083,0.03375,21.7826087,11.04166667,,21.27852083,1.97208333
2021-04-05,265.16002643,141.875,81.78478472,4.15731602,13.28022236,42.75400693,21.51970833,0.2225,35.63157895,11.45833333,,21.51970833,1.98666667
2021-04-06,375.77373595,151.83333333,84.73711806,6.05631238,20.19003954,35.86268229,20.83607639,0.265,31.29166667,10.75,,20.83607639,1.8725
2021-04-07,233.70950646,75.20833333,83.35213194,5.11602723,11.64752051,25.45620986,21.31747222,0.02416667,32.52173913,8.79166667,,21.31747222,1.60291667
2021-04-08,264.91574617,80.54166667,81.81968056,5.32406993,10.85659876,28.95500813,21.94127083,0.02833333,27.61904762,9.125,6.54655403,21.94127083,2.26416667
2021-04-09,258.82745088,88.75,87.11775,1.8975818,9.61809575,32.70722404,20.0546875,0.2325,22.09090909,7.0,7.84786495,20.0546875,1.46083333
2021-04-10,289.40552247,131.45833333,87.06977778,3.26768687,12.13765245,28.25197858,20.75945139,0.195,29.61904762,9.95833333,11.286034,20.75945139,1.27
2021-04-11,248.31051262,127.125,83.05932639,3.17085543,8.68113064,29.98502819,21.89247917,0.11333333,22.80952381,7.33333333,16.04559625,21.89247917,1.605
2021-04-12,306.64439799,114.91666667,78.69956944,7.15350714,15.69143022,23.91117978,22.03076389,0.0825,30.05,10.33333333,23.20328565,22.03076389,1.48916667
2021-04-13,251.23502066,130.0,71.84234722,8.3600515,12.66311996,28.84056146,22.76620139,0.0025,31.22222222,9.19047619,28.84848144,22.76620139,2.0425
2021-04-14,238.9844843,127.95833333,83.5029375,10.21348699,19.02432895,26.19193847,21.75855556,0.00125,41.07142857,16.0,27.74647818,21.75855556,1.45541667
2021-04-15,251.76567647,129.16666667,83.20654167,6.75548826,14.96898307,26.79687088,21.43984028,0.11666667,43.7826087,16.45833333,21.1781023,21.43984028,1.44291667
2021-04-16,357.5256021,201.04166667,84.96670833,7.34879619,14.5116536,21.94106206,20.73795139,0.12958333,36.5,14.04347826,15.15527259,20.73795139,1.45333333
2021-04-17,363.22700557,123.54166667,80.52138889,10.60373701,12.10018504,28.10483285,22.14075,0.00416667,45.61904762,17.45833333,19.86879149,22.14075,2.38041667
2021-04-18,217.91176025,134.54166667,82.00020833,5.8633525,9.38922015,23.2571988,21.40923611,0.0,28.27272727,10.625,25.37880781,21.40923611,1.94166667
2021-04-19,231.71539969,123.91666667,80.66522222,7.37214867,10.67642593,24.1891217,21.83945139,0.0,29.4,12.22916667,17.71554448,21.83945139,2.01291667
2021-04-20,213.68412157,126.65217391,82.64044719,8.53225549,13.34422508,22.18630493,21.38363409,0.07208333,36.9047619,14.54166667,22.03570088,21.38363409,1.63391304
2021-04-21,237.66789799,141.625,79.18011111,6.1897558,12.74662704,27.56529854,21.794875,0.0,40.77272727,19.25,18.15577652,21.794875,1.83291667
2021-04-22,362.97756376,108.83333333,79.75890278,7.71776075,16.7113889,27.68123153,22.483125,0.0,42.59090909,21.125,29.82848074,22.483125,1.91208333
2021-04-23,644.98825096,131.70833333,84.12474306,8.61185105,33.03796851,31.54640779,20.73794445,0.06333333,46.13043478,21.20833333,41.5160635,20.73794445,1.28375
2021-04-24,625.72161886,103.91666667,84.08634028,12.02263953,23.50849342,30.27114487,21.16800694,0.00791667,48.81818182,23.58333333,37.05349583,21.16800694,2.0675
2021-04-25,364.34201886,77.16666667,83.04095833,6.53374333,13.89257242,29.85423199,22.14375694,0.005,32.33333333,17.95833333,33.51835666,22.14375694,1.96916667
2021-04-26,405.7089453,139.04166667,84.11099306,6.04168011,21.5626575,29.06128004,21.78688194,0.10916667,42.16666667,20.29166667,23.96038776,21.78688194,1.63416667
2021-04-27,505.48484188,198.45833333,93.51249306,16.47360613,34.98375844,14.88517591,19.10163889,0.2425,45.52173913,19.29166667,38.47191587,19.10163889,1.44125
2021-04-28,645.00761843,150.04166667,90.21702778,16.61017438,33.30370038,23.02830545,19.33096528,0.2925,48.0,20.08333333,19.09411593,19.33096528,1.32833333
2021-04-29,324.79601685,119.625,91.80326389,8.38591925,23.17762095,23.68228644,18.86127083,0.2425,30.85,12.41666667,28.53206466,18.86127083,1.51916667
2021-04-30,323.50564679,180.20833333,92.01261806,7.80501062,20.570114,14.68045143,18.62113889,0.04708333,27.08695652,12.5,17.86118159,18.62113889,1.02333333
2021-05-01,434.96800278,173.01436231,85.62131944,7.33174032,17.53242309,26.42900658,19.48959722,0.01208333,31.80952381,12.95833333,12.30752159,19.48959722,1.02737508
2021-05-02,186.74391395,131.82668058,86.93755556,4.339474,14.11236883,21.8674892,19.2505,0.57208333,28.6875,10.79166667,22.96749374,19.2505,0.84479633
2021-05-03,256.71456159,172.92963682,86.73130556,8.27892295,16.06331496,24.70413173,18.52997917,0.515,26.61111111,8.58333333,13.15129966,18.52997917,1.08249758
2021-05-04,331.05408035,109.86385007,85.65043478,8.94650988,19.60771379,21.36811785,19.49718116,0.28086957,29.9047619,10.47826087,21.8370272,19.49718116,1.52626705
2021-05-05,,,,,,,,,,,,,
2021-05-06,351.75223405,150.45177059,88.36990278,10.27374732,16.06168527,18.1152733,19.36638889,0.45,38.52380952,13.66666667,23.21050976,19.36638889,1.02978469
2021-05-07,447.79285,138.43635674,84.46068056,8.74832598,18.62209889,26.89496803,20.09532639,0.32458333,36.17391304,13.625,17.17379342,20.09532639,1.42492232
2021-05-08,373.47068337,118.3293115,88.30626389,4.72605611,21.55309187,24.04197598,19.7178125,0.08666667,28.2,10.66666667,23.59036515,19.7178125,0.97730305
