Fecha,PM10
2019-01-27,47.1
2019-01-28,
2019-01-29,
2019-01-30,43.7
2019-01-31,
2019-02-01,
2019-02-02,44.0
2019-02-03,
2019-02-04,
2019-02-05,63.6
2019-02-06,
2019-02-07,
2019-02-08,76.1
2019-02-09,
2019-02-10,
2019-02-11,
2019-02-12,
2019-02-13,60.8
2019-02-14,
2019-02-15,
2019-02-16,
2019-02-17,30.6
2019-02-18,
2019-02-19,
2019-02-20,44.3
2019-02-21,
2019-02-22,
2019-02-23,48.6
2019-02-24,
2019-02-25,
2019-02-26,56.4
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,57.0
2019-03-06,
2019-03-07,54.0
2019-03-08,
2019-03-09,
2019-03-10,32.7
2019-03-11,
2019-03-12,
2019-03-13,51.0
2019-03-14,
2019-03-15,
2019-03-16,82.8
2019-03-17,
2019-03-18,
2019-03-19,23.1
2019-03-20,
2019-03-21,42.6
2019-03-22,
2019-03-23,
2019-03-24,
2019-03-25,18.5
2019-03-26,
2019-03-27,
2019-03-28,32.3
2019-03-29,
2019-03-30,
2019-03-31,32.5
2019-04-01,
2019-04-02,
2019-04-03,40.8
2019-04-04,
2019-04-05,
2019-04-06,30.0
2019-04-07,
2019-04-08,
2019-04-09,46.0
2019-04-10,
2019-04-11,37.2
2019-04-12,
2019-04-13,
2019-04-14,23.8
2019-04-15,
2019-04-16,42.4
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-20,14.2
2019-04-21,
2019-04-22,
2019-04-23,20.9
2019-04-24,
2019-04-25,
2019-04-26,30.3
2019-04-27,
2019-04-28,
2019-04-29,35.0
2019-04-30,
2019-05-01,
2019-05-02,53.6
2019-05-03,
2019-05-04,
2019-05-05,29.0
2019-05-06,
2019-05-07,
2019-05-08,25.2
2019-05-09,
2019-05-10,
2019-05-11,25.1
2019-05-12,
2019-05-13,
2019-05-14,34.5
2019-05-15,
2019-05-16,37.9
2019-05-17,
2019-05-18,
2019-05-19,
2019-05-20,25.1
2019-05-21,
2019-05-22,
2019-05-23,27.3
2019-05-24,
2019-05-25,
2019-05-26,18.3
2019-05-27,
2019-05-28,
2019-05-29,17.7
2019-05-30,
2019-05-31,
2019-06-01,20.1
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,29.4
2019-06-06,
2019-06-07,
2019-06-08,25.5
2019-06-09,
2019-06-10,
2019-06-11,27.9
2019-06-12,
2019-06-13,26.0
2019-06-14,
2019-06-15,
2019-06-16,16.1
2019-06-17,
2019-06-18,
2019-06-19,39.4
2019-06-20,
2019-06-21,
2019-06-22,33.3
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,26.0
2019-06-27,
2019-06-28,38.0
2019-06-29,
2019-06-30,
2019-07-01,9.6
2019-07-02,
2019-07-03,
2019-07-04,18.6
2019-07-05,
2019-07-06,
2019-07-07,22.0
2019-07-08,
2019-07-09,
2019-07-10,26.5
2019-07-11,
2019-07-12,
2019-07-13,25.8
2019-07-14,
2019-07-15,
2019-07-16,21.9
2019-07-17,
2019-07-18,38.0
2019-07-19,
2019-07-20,
2019-07-21,23.3
2019-07-22,
2019-07-23,
2019-07-24,39.6
2019-07-25,
2019-07-26,
2019-07-27,32.5
2019-07-28,
2019-07-29,
2019-07-30,24.0
2019-07-31,
2019-08-01,46.9
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,37.2
2019-08-06,
2019-08-07,
2019-08-08,37.2
2019-08-09,
2019-08-10,
2019-08-11,26.2
2019-08-12,
2019-08-13,
2019-08-14,37.1
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,44.3
2019-08-22,
2019-08-23,45.0
2019-08-24,
2019-08-25,
2019-08-26,36.5
2019-08-27,
2019-08-28,
2019-08-29,45.4
2019-08-30,
2019-08-31,
2019-09-01,20.1
2019-09-02,
2019-09-03,
2019-09-04,37.6
2019-09-05,
2019-09-06,
2019-09-07,32.4
2019-09-08,
2019-09-09,
2019-09-10,43.1
2019-09-11,
2019-09-12,38.1
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,34.1
2019-09-17,
2019-09-18,
2019-09-19,22.2
2019-09-20,
2019-09-21,
2019-09-22,26.0
2019-09-23,
2019-09-24,
2019-09-25,37.0
2019-09-26,
2019-09-27,
2019-09-28,28.8
2019-09-29,
2019-09-30,
2019-10-01,26.0
2019-10-02,
2019-10-03,45.0
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,33.0
2019-10-08,
2019-10-09,
