Fecha,CO,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM10,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-10-04,,,,,27.91666667,22.58333333,52.37777778,,0.20833333,,,156.07916667,,,21.86708333,
2012-10-05,,,,,34.30769231,20.30769231,54.69230769,,0.45833333,,,211.33846154,,,21.31384615,
2012-10-06,,,,,,,,,0.27083333,,,,,,,
2012-10-07,,,,,,,,,0.33333333,,,,,,,
2012-10-08,,,,,51.33333333,20.8,72.13333333,,0.0,,,182.34,,,22.654,
2012-10-09,,,,,45.33333333,18.125,63.41666667,,0.0,,,174.62916667,,,23.35166667,
2012-10-10,,,,,32.86363636,20.0,52.90909091,,0.0,,,172.33333333,,,22.62875,
2012-10-11,,,,,39.33333333,21.66666667,60.95833333,,0.47916667,,,203.11666667,,,22.07,
2012-10-12,,,,,37.41666667,23.58333333,61.08333333,,0.5,,,154.34166667,,,21.18583333,
2012-10-13,,,,,34.04166667,25.79166667,60.0,,0.27083333,,,200.54166667,,,20.54291667,
2012-10-14,,,,,32.5,16.79166667,49.45833333,,0.45833333,,,160.58333333,,,20.945,
2012-10-15,,,,,25.29166667,15.29166667,40.66666667,,1.20833333,,,162.49583333,,,20.46583333,
2012-10-16,,,,,56.91666667,21.66666667,78.54166667,,0.375,,,88.80833333,,,19.64083333,
2012-10-17,,,,,52.375,18.41666667,70.83333333,,1.54166667,,,176.3,,,21.09,
2012-10-18,,,,,49.83333333,19.45833333,69.45833333,,0.39583333,,,71.1625,,,19.59333333,
2012-10-19,,,,,42.54166667,24.04166667,66.58333333,,0.83333333,,,108.92083333,,,20.65375,
2012-10-20,,,,,39.375,19.54166667,58.875,,0.02083333,,,177.45416667,,,21.79083333,
2012-10-21,,,,,16.66666667,11.83333333,28.5,,1.70833333,,,206.15416667,,,21.28291667,
2012-10-22,,,,,26.75,16.125,42.875,,0.0,,,184.8375,,,21.69208333,
2012-10-23,,,,,34.375,14.0,48.41666667,,0.02083333,,,211.80833333,,,22.92791667,
2012-10-24,,,,,36.25,15.75,52.04166667,,0.375,,,154.825,,,21.85125,
2012-10-25,,,,,31.08333333,20.25,51.29166667,,0.47916667,,,161.17083333,,,22.03666667,
2012-10-26,,,,,35.625,19.125,54.875,,0.02083333,,,126.77083333,,,21.49291667,
2012-10-27,,,,,29.20833333,16.58333333,45.79166667,,0.0,,,196.8,,,22.90583333,
2012-10-28,,,,,14.5,13.41666667,27.91666667,,0.35416667,,,180.45416667,,,23.44375,
2012-10-29,,,,,21.58333333,17.45833333,39.04166667,,0.0,,,174.04583333,,,23.42333333,
2012-10-30,,,,,32.27272727,23.59090909,55.90909091,,0.52083333,,,97.52608696,,,20.43173913,
2012-10-31,,,,,29.70833333,22.79166667,52.29166667,,0.66666667,,,135.70833333,,,21.38416667,
2012-11-01,,,,64.725,31.79166667,22.625,54.45833333,,0.20833333,,,182.15416667,,,22.27375,
2012-11-02,2015.38461538,,,71.55833333,38.91666667,18.16666667,57.08333333,,0.0,,,136.40833333,,,21.9575,
2012-11-03,1745.83333333,,,62.925,35.33333333,20.5,55.83333333,,0.0,,,194.55,,,23.00416667,
2012-11-04,1237.5,,,64.83333333,18.83333333,6.79166667,25.45833333,,0.16666667,,,161.23333333,,,22.72875,
2012-11-05,1350.0,,,65.84166667,19.83333333,7.125,26.70833333,,0.14583333,,,156.5125,,,22.2075,
