"Estacion","Fecha inicial","Fecha final","PST"
"MED-Univ. Medellín (S)","2006-02-22","","134.41988421"
"MED-Univ. Medellín (S)","2006-02-19","","60.10681583"
"MED-Univ. Medellín (S)","2006-02-16","","111.3033214"
"MED-Univ. Medellín (S)","2006-02-10","","79.52097782"
"MED-Univ. Medellín (S)","2006-02-07","","86.4601268"
"MED-Univ. Medellín (S)","2006-02-04","","72.73387037"
"MED-Univ. Medellín (S)","2006-02-01","","86.73445575"
"MED-Univ. Medellín (S)","2006-01-29","","44.50708446"
"MED-Univ. Medellín (S)","2006-01-26","","78.83975458"
"MED-Univ. Medellín (S)","2006-01-23","","84.57427765"
"MED-Univ. Medellín (S)","2006-01-20","","87.55034785"
"MED-Univ. Medellín (S)","2006-01-17","","81.23566418"
"MED-Univ. Medellín (S)","2006-01-14","","86.51362381"
"MED-Univ. Medellín (S)","2006-01-11","","90.12070375"
"MED-Univ. Medellín (S)","2005-12-15","","113.09831859"
"MED-Univ. Medellín (S)","2005-12-09","","69.58884977"
"MED-Univ. Medellín (S)","2005-12-06","","99.64722242"
"MED-Univ. Medellín (S)","2005-12-03","","64.26547502"
"MED-Univ. Medellín (S)","2005-11-30","","72.1516029"
"MED-Univ. Medellín (S)","2005-11-27","","45.66373742"
"MED-Univ. Medellín (S)","2005-11-24","","72.87274873"
"MED-Univ. Medellín (S)","2005-11-21","","88.82242315"
"MED-Univ. Medellín (S)","2005-11-18","","91.93650581"
"MED-Univ. Medellín (S)","2005-11-15","","71.14685857"
"MED-Univ. Medellín (S)","2005-11-12","","94.24338583"
"MED-Univ. Medellín (S)","2005-11-09","","76.73208839"
"MED-Univ. Medellín (S)","2005-11-03","","77.70206571"
"MED-Univ. Medellín (S)","2005-07-24","","60.53157469"
"MED-Univ. Medellín (S)","2005-07-21","","60.64767178"
"MED-Univ. Medellín (S)","2005-07-18","","61.08100066"
"MED-Univ. Medellín (S)","2005-07-15","","79.93104701"
"MED-Univ. Medellín (S)","2005-07-12","","89.2619312"
"MED-Univ. Medellín (S)","2005-07-09","","82.22028737"
"MED-Univ. Medellín (S)","2005-07-06","","64.69606991"
"MED-Univ. Medellín (S)","2005-07-03","","34.80443037"
"MED-Univ. Medellín (S)","2005-06-30","","64.28655082"
"MED-Univ. Medellín (S)","2005-06-27","","81.30706179"
"MED-Univ. Medellín (S)","2005-06-24","","99.31424457"
"MED-Univ. Medellín (S)","2005-06-21","","124.78515267"
"MED-Univ. Medellín (S)","2005-06-18","","57.97349487"
"MED-Univ. Medellín (S)","2005-06-15","","73.30780866"
"MED-Univ. Medellín (S)","2005-06-12","","44.3759549"
"MED-Univ. Medellín (S)","2005-06-09","","92.44662143"
"MED-Univ. Medellín (S)","2005-06-06","","41.78184796"
"MED-Univ. Medellín (S)","2005-06-03","","66.10521057"
"MED-Univ. Medellín (S)","2005-05-31","","97.55965202"
"MED-Univ. Medellín (S)","2005-05-28","","65.20168382"
"MED-Univ. Medellín (S)","2005-05-25","","78.69037065"
"MED-Univ. Medellín (S)","2005-05-22","","56.9106874"
"MED-Univ. Medellín (S)","2005-05-19","","101.2588885"
"MED-Univ. Medellín (S)","2005-05-16","","74.64873592"
"MED-Univ. Medellín (S)","2005-05-13","","93.99072059"
"MED-Univ. Medellín (S)","2005-05-10","","72.6993406"
"MED-Univ. Medellín (S)","2005-05-07","","65.13776783"
"MED-Univ. Medellín (S)","2005-05-04","","62.52380617"
"MED-Univ. Medellín (S)","2005-05-01","","52.2878474"
"MED-Univ. Medellín (S)","2005-04-28","","92.70872131"
"MED-Univ. Medellín (S)","2005-04-25","","61.23160795"
"MED-Univ. Medellín (S)","2005-04-22","","123.33554199"
"MED-Univ. Medellín (S)","2005-04-19","","90.35482327"
"MED-Univ. Medellín (S)","2005-04-16","","59.25988614"
"MED-Univ. Medellín (S)","2005-04-13","","77.94705252"
"MED-Univ. Medellín (S)","2005-04-10","","47.41794002"
"MED-Univ. Medellín (S)","2005-04-07","","75.23044515"
"MED-Univ. Medellín (S)","2005-04-04","","102.09375619"
"MED-Univ. Medellín (S)","2005-04-01","","79.53453698"
"MED-Univ. Medellín (S)","2005-03-29","","91.06575096"
"MED-Univ. Medellín (S)","2005-03-23","","75.17945642"
"MED-Univ. Medellín (S)","2005-03-20","","51.38555857"
"MED-Univ. Medellín (S)","2005-03-17","","116.52705748"
"MED-Univ. Medellín (S)","2005-03-14","","128.620049"
"MED-Univ. Medellín (S)","2005-03-11","","119.44908621"
"MED-Univ. Medellín (S)","2005-03-08","","99.16041585"
"MED-Univ. Medellín (S)","2005-03-05","","52.4166765"
"MED-Univ. Medellín (S)","2005-03-02","","94.09079525"
"MED-Univ. Medellín (S)","2005-02-27","","77.03984122"
"MED-Univ. Medellín (S)","2005-02-24","","112.60537326"
"MED-Univ. Medellín (S)","2005-02-21","","85.93855035"
"MED-Univ. Medellín (S)","2005-02-18","","75.50189985"
"MED-Univ. Medellín (S)","2005-02-15","","89.23151476"
"MED-Univ. Medellín (S)","2005-02-12","","58.90561907"
"MED-Univ. Medellín (S)","2005-02-09","","75.08822762"
"MED-Univ. Medellín (S)","2005-02-06","","46.33459218"
"MED-Univ. Medellín (S)","2005-02-03","","79.92130514"
"MED-Univ. Medellín (S)","2005-01-31","","65.68048745"
"MED-Univ. Medellín (S)","2005-01-25","","74.25610868"
"MED-Univ. Medellín (S)","2005-01-19","","79.9076878"
"MED-Univ. Medellín (S)","2005-01-16","","47.45503931"
"MED-Univ. Medellín (S)","2005-01-13","","75.37396221"
"MED-Univ. Medellín (S)","2004-12-16","","70.22176523"
"MED-Univ. Medellín (S)","2004-12-13","","60.03116031"
"MED-Univ. Medellín (S)","2004-12-10","","70.61921951"
"MED-Univ. Medellín (S)","2004-12-07","","86.88150573"
"MED-Univ. Medellín (S)","2004-12-04","","62.55055265"
"MED-Univ. Medellín (S)","2004-12-01","","100.12788226"
"MED-Univ. Medellín (S)","2004-11-28","","62.94859029"
"MED-Univ. Medellín (S)","2004-11-25","","106.39119689"
"MED-Univ. Medellín (S)","2004-11-22","","80.01091288"
"MED-Univ. Medellín (S)","2004-11-19","","65.24041255"
"MED-Univ. Medellín (S)","2004-11-16","","88.41448058"
"MED-Univ. Medellín (S)","2004-11-13","","60.19959999"
"MED-Univ. Medellín (S)","2004-11-10","","107.04078601"
"MED-Univ. Medellín (S)","2004-11-07","","65.75425754"
"MED-Univ. Medellín (S)","2004-11-04","","108.969973"
"MED-Univ. Medellín (S)","2004-11-01","","67.60747276"
"MED-Univ. Medellín (S)","2004-10-29","","75.30981911"
"MED-Univ. Medellín (S)","2004-10-26","","97.68437127"
"MED-Univ. Medellín (S)","2004-10-23","","66.74662929"
"MED-Univ. Medellín (S)","2004-10-20","","94.71797992"
"MED-Univ. Medellín (S)","2004-10-17","","43.92632415"
"MED-Univ. Medellín (S)","2004-10-14","","51.26997274"
"MED-Univ. Medellín (S)","2004-10-11","","127.06690989"
"MED-Univ. Medellín (S)","2004-10-08","","132.0698891"
"MED-Univ. Medellín (S)","2004-10-05","","148.40075543"
"MED-Univ. Medellín (S)","2004-10-02","","104.76500027"
"MED-Univ. Medellín (S)","2004-09-29","","90.24364637"
"MED-Univ. Medellín (S)","2004-09-26","","110.72202817"
"MED-Univ. Medellín (S)","2004-09-23","","94.2992367"
"MED-Univ. Medellín (S)","2004-09-20","","56.1655261"
"MED-Univ. Medellín (S)","2004-09-17","","83.33558728"
"MED-Univ. Medellín (S)","2004-09-14","","94.0048424"
"MED-Univ. Medellín (S)","2004-09-11","","64.82884234"
"MED-Univ. Medellín (S)","2004-09-08","","115.12938093"
"MED-Univ. Medellín (S)","2004-09-05","","39.62877827"
"MED-Univ. Medellín (S)","2004-09-02","","78.43304461"
"MED-Univ. Medellín (S)","2004-08-30","","84.23112594"
"MED-Univ. Medellín (S)","2004-08-27","","59.9158914"
"MED-Univ. Medellín (S)","2004-08-24","","105.60536983"
"MED-Univ. Medellín (S)","2004-08-21","","94.64843221"
"MED-Univ. Medellín (S)","2004-08-18","","83.78288986"
"MED-Univ. Medellín (S)","2004-08-12","","133.26986949"
"MED-Univ. Medellín (S)","2004-08-09","","100.16515734"
"MED-Univ. Medellín (S)","2004-08-06","","67.02032662"
"MED-Univ. Medellín (S)","2004-08-03","","66.70408352"
"MED-Univ. Medellín (S)","2004-07-31","","64.40502359"
"MED-Univ. Medellín (S)","2004-07-28","","71.76582485"
"MED-Univ. Medellín (S)","2004-07-25","","54.44273301"
"MED-Univ. Medellín (S)","2004-07-22","","67.54986837"
"MED-Univ. Medellín (S)","2004-07-19","","53.0212366"
"MED-Univ. Medellín (S)","2004-07-16","","61.10526092"
"MED-Univ. Medellín (S)","2004-07-13","","52.38785882"
"MED-Univ. Medellín (S)","2004-07-10","","66.72179044"
"MED-Univ. Medellín (S)","2004-07-07","","70.66866382"
"MED-Univ. Medellín (S)","2004-07-04","","47.23810153"
"MED-Univ. Medellín (S)","2004-07-01","","78.50556912"
"MED-Univ. Medellín (S)","2004-06-28","","67.21433475"
"MED-Univ. Medellín (S)","2004-06-25","","80.41897079"
"MED-Univ. Medellín (S)","2004-06-22","","89.94712564"
"MED-Univ. Medellín (S)","2004-06-19","","89.74565315"
"MED-Univ. Medellín (S)","2004-06-16","","102.18815723"
"MED-Univ. Medellín (S)","2004-06-13","","71.50219803"
"MED-Univ. Medellín (S)","2004-06-10","","105.79988529"
"MED-Univ. Medellín (S)","2004-06-07","","84.85427349"
"MED-Univ. Medellín (S)","2004-06-04","","87.6091684"
"MED-Univ. Medellín (S)","2004-06-01","","98.2819348"
"MED-Univ. Medellín (S)","2004-05-29","","90.21707973"
"MED-Univ. Medellín (S)","2004-05-26","","100.36972642"
"MED-Univ. Medellín (S)","2004-05-23","","81.68574595"
"MED-Univ. Medellín (S)","2004-05-20","","79.26293299"
"MED-Univ. Medellín (S)","2004-05-17","","91.74951019"
"MED-Univ. Medellín (S)","2004-05-14","","67.29704773"
"MED-Univ. Medellín (S)","2004-05-11","","69.02253755"
"MED-Univ. Medellín (S)","2004-05-08","","72.72202287"
"MED-Univ. Medellín (S)","2004-05-05","","68.19074544"
"MED-Univ. Medellín (S)","2004-05-02","","38.70043603"
"MED-Univ. Medellín (S)","2004-04-29","","101.79400287"
"MED-Univ. Medellín (S)","2004-04-26","","104.70292312"
"MED-Univ. Medellín (S)","2004-04-23","","91.59466262"
"MED-Univ. Medellín (S)","2004-04-20","","72.48606096"
"MED-Univ. Medellín (S)","2004-04-17","","54.19777952"
"MED-Univ. Medellín (S)","2004-04-14","","84.68936762"
"MED-Univ. Medellín (S)","2004-04-08","","51.54711686"
"MED-Univ. Medellín (S)","2004-04-05","","68.97419786"
"MED-Univ. Medellín (S)","2004-04-02","","109.53667063"
"MED-Univ. Medellín (S)","2004-03-30","","92.2218285"
"MED-Univ. Medellín (S)","2004-03-27","","96.15836646"
"MED-Univ. Medellín (S)","2004-03-24","","82.78644368"
"MED-Univ. Medellín (S)","2004-03-21","","112.83455992"
"MED-Univ. Medellín (S)","2004-03-18","","94.54020818"
"MED-Univ. Medellín (S)","2004-03-15","","95.19495731"
"MED-Univ. Medellín (S)","2004-03-12","","74.04171928"
"MED-Univ. Medellín (S)","2004-03-09","","83.25065595"
"MED-Univ. Medellín (S)","2004-03-06","","82.14749124"
"MED-Univ. Medellín (S)","2004-03-03","","62.61312938"
"MED-Univ. Medellín (S)","2004-02-29","","43.25696437"
"MED-Univ. Medellín (S)","2004-02-26","","92.98598612"
"MED-Univ. Medellín (S)","2004-02-23","","71.7604245"
"MED-Univ. Medellín (S)","2004-02-20","","133.23736066"
"MED-Univ. Medellín (S)","2004-02-17","","108.98350914"
"MED-Univ. Medellín (S)","2004-02-14","","78.51870509"
"MED-Univ. Medellín (S)","2004-02-11","","114.24262978"
"MED-Univ. Medellín (S)","2004-02-08","","73.65256972"
"MED-Univ. Medellín (S)","2004-02-05","","107.71608482"
"MED-Univ. Medellín (S)","2004-02-02","","99.09939632"
"MED-Univ. Medellín (S)","2004-01-30","","97.12370173"
"MED-Univ. Medellín (S)","2004-01-27","","94.77169418"
"MED-Univ. Medellín (S)","2004-01-24","","61.52690607"
"MED-Univ. Medellín (S)","2003-12-28","","51.01979039"
"MED-Univ. Medellín (S)","2003-12-25","","66.08604223"
"MED-Univ. Medellín (S)","2003-12-22","","368.8742112"
"MED-Univ. Medellín (S)","2003-12-19","","80.6453518"
"MED-Univ. Medellín (S)","2003-12-16","","87.29738727"
"MED-Univ. Medellín (S)","2003-12-13","","95.2751311"
"MED-Univ. Medellín (S)","2003-12-10","","93.49193624"
"MED-Univ. Medellín (S)","2003-12-07","","63.3918857"
"MED-Univ. Medellín (S)","2003-12-04","","63.00188628"
"MED-Univ. Medellín (S)","2003-12-01","","74.69483436"
"MED-Univ. Medellín (S)","2003-11-28","","72.78753467"
"MED-Univ. Medellín (S)","2003-11-25","","72.50803897"
"MED-Univ. Medellín (S)","2003-11-22","","64.17308856"
"MED-Univ. Medellín (S)","2003-11-19","","75.01036913"
"MED-Univ. Medellín (S)","2003-11-16","","45.39666993"
"MED-Univ. Medellín (S)","2003-11-13","","67.50575452"
"MED-Univ. Medellín (S)","2003-11-10","","69.65337642"
"MED-Univ. Medellín (S)","2003-11-07","","74.19797532"
"MED-Univ. Medellín (S)","2003-11-04","","120.22108677"
"MED-Univ. Medellín (S)","2003-11-01","","84.3358641"
"MED-Univ. Medellín (S)","2003-10-29","","67.33752605"
"MED-Univ. Medellín (S)","2003-10-26","","52.47570333"
"MED-Univ. Medellín (S)","2003-10-23","","112.85229285"
"MED-Univ. Medellín (S)","2003-10-20","","87.07022132"
"MED-Univ. Medellín (S)","2003-10-17","","97.80542415"
"MED-Univ. Medellín (S)","2003-10-14","","88.36367016"
"MED-Univ. Medellín (S)","2003-10-11","","108.46706149"
"MED-Univ. Medellín (S)","2003-10-08","","114.47172453"
"MED-Univ. Medellín (S)","2003-10-05","","44.73888127"
"MED-Univ. Medellín (S)","2003-10-02","","130.22713303"
"MED-Univ. Medellín (S)","2003-09-29","","83.9031541"
"MED-Univ. Medellín (S)","2003-09-26","","99.0290101"
"MED-Univ. Medellín (S)","2003-09-23","","76.13591043"
